title,ingredients,directions,NER
Grilled Chicken & Broccoli Bowl,"2 chicken breasts|2 cups broccoli florets|2 tbsp olive oil|3 cloves garlic|1 tsp salt|0.5 tsp black pepper|1 cup brown rice","1. Cook brown rice per package instructions. 2. Season chicken with salt, pepper, and minced garlic. 3. Grill chicken 6 min per side until cooked through. 4. Steam broccoli 4 min. 5. Slice chicken and serve over rice with broccoli.","chicken breast|broccoli|olive oil|garlic|brown rice"
Salmon & Quinoa Power Bowl,"2 salmon fillets|1 cup quinoa|2 cups spinach|1 avocado|2 tbsp olive oil|1 lemon|salt|pepper","1. Cook quinoa in 2 cups water, 15 min. 2. Season salmon with salt, pepper, lemon juice. 3. Pan-sear salmon in olive oil 4 min per side. 4. Serve salmon over quinoa with spinach and sliced avocado.","salmon|quinoa|spinach|avocado|olive oil|lemon"
Turkey Taco Bowl,"400g ground turkey|1 can black beans|1 cup white rice|1 bell pepper|1 onion|2 tbsp olive oil|1 tsp cumin|1 tsp chili powder|salt|salsa","1. Cook rice. 2. Sauté onion and pepper in oil 5 min. 3. Add turkey, brown 8 min. 4. Season with cumin, chili powder, salt. 5. Serve over rice with beans and salsa.","ground turkey|black beans|white rice|bell pepper|onion|olive oil"
Veggie Stir Fry with Tofu,"400g firm tofu|2 cups broccoli|1 bell pepper|1 cup mushrooms|3 tbsp soy sauce|2 tbsp olive oil|3 cloves garlic|1 tsp ginger|1 cup white rice","1. Press and cube tofu, pan-fry until golden. 2. Cook rice. 3. Stir-fry vegetables with garlic and ginger. 4. Add tofu and soy sauce, toss 2 min. 5. Serve over rice.","tofu|broccoli|bell pepper|mushrooms|soy sauce|olive oil|garlic|white rice"
Beef & Sweet Potato Hash,"300g ground beef|2 sweet potatoes|1 onion|2 bell peppers|2 tbsp olive oil|1 tsp paprika|salt|pepper","1. Dice sweet potatoes, microwave 5 min. 2. Brown beef in skillet, drain fat. 3. Sauté onion and peppers in oil. 4. Add sweet potatoes and beef, season with paprika, salt, pepper. 5. Cook 5 min more.","ground beef|sweet potato|onion|bell pepper|olive oil"
Lemon Herb Tilapia,"4 tilapia fillets|2 lemons|3 tbsp olive oil|4 cloves garlic|1 tsp dried herbs|salt|pepper|2 cups broccoli","1. Preheat oven 400F. 2. Place tilapia in baking dish, drizzle with olive oil, lemon juice, garlic, herbs. 3. Bake 15-18 min. 4. Steam broccoli. 5. Serve tilapia with broccoli.","tilapia|lemon|olive oil|garlic|broccoli"
Chicken & Vegetable Soup,"2 chicken breasts|3 carrots|3 celery stalks|1 onion|3 cloves garlic|4 cups chicken broth|1 cup peas|salt|pepper|thyme","1. Sauté onion, carrots, celery in pot 5 min. 2. Add garlic, cook 1 min. 3. Add chicken, broth, thyme. 4. Simmer 20 min. 5. Remove chicken, shred, return to pot. 6. Add peas, cook 5 min.","chicken breast|carrot|celery|onion|garlic|peas"
Black Bean Tacos,"2 cans black beans|1 onion|2 bell peppers|2 tbsp olive oil|1 tsp cumin|1 tsp chili powder|8 corn tortillas|1 avocado|salsa","1. Sauté onion and peppers 5 min. 2. Add drained beans, cumin, chili powder. 3. Cook 8 min, mash slightly. 4. Serve in tortillas with avocado and salsa.","black beans|onion|bell pepper|olive oil|avocado|corn"
Greek Quinoa Salad,"1 cup quinoa|1 cucumber|2 tomatoes|0.5 red onion|100g feta cheese|0.25 cup olive oil|2 tbsp lemon juice|kalamata olives|fresh parsley","1. Cook and cool quinoa. 2. Dice cucumber, tomatoes, onion. 3. Combine all ingredients. 4. Dress with olive oil and lemon juice. 5. Toss and season.","quinoa|cucumber|tomato|onion|lemon|olive oil"
Shrimp Stir Fry,"400g shrimp|2 cups broccoli|1 cup snap peas|3 tbsp soy sauce|2 tbsp olive oil|3 cloves garlic|1 tsp ginger|1 cup white rice","1. Cook rice. 2. Stir-fry garlic and ginger in oil 1 min. 3. Add broccoli and peas, cook 4 min. 4. Add shrimp, cook 3 min. 5. Add soy sauce, toss, serve over rice.","shrimp|broccoli|peas|soy sauce|olive oil|garlic|white rice"
Overnight Oats,"1 cup oats|1 cup almond milk|0.5 cup greek yogurt|2 tbsp honey|1 banana|handful blueberries","1. Combine oats, almond milk, yogurt, honey in jar. 2. Stir well. 3. Refrigerate overnight. 4. Top with banana and blueberries before serving.","oats|almond milk|greek yogurt|honey"
